127.0.0.1 - - [27/Sep/2017:04:23:36 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:23:40 -0700] "GET /HiddenFormField/index.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:23:41 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:23:48 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:16 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:27 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:43 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:44 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:46 -0700] "GET /HiddenFormField/index.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:24:48 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:25:29 -0700] "GET /HiddenFormField/FirstServlet?uname=asd HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [27/Sep/2017:04:25:30 -0700] "GET /HiddenFormField/SecondServlet?uname=asd HTTP/1.1" 200 20
