127.0.0.1 - - [21/Aug/2018:11:11:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:11:58 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:11:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:12:12 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:12:20 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:12:25 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:12:48 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:13:13 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:14:56 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:15:06 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:15:32 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:18:35 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:26:27 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:26:39 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:29:20 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:30:29 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:32:23 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:32:40 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:33:24 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:34:33 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:34:42 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:34:47 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:34:54 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:35:20 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:35:25 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:36:10 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:36:15 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:36:20 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:40:39 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:41:12 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:41:25 +0530] "GET /JavaScriptValidation/index.jsp HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:44:24 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:44:24 +0530] "GET /JavaScriptValidation/formvalid.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:44:24 +0530] "GET /JavaScriptValidation/formvalid.js HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:45:33 +0530] "GET /JavaScriptValidation/index.jsp? HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:45:33 +0530] "GET /JavaScriptValidation/formvalid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:45:33 +0530] "GET /JavaScriptValidation/formvalid.css HTTP/1.1" 304 -
