127.0.0.1 - - [05/Apr/2018:07:57:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Apr/2018:07:57:22 +0530] "GET /JHCProgramming/ HTTP/1.1" 500 2888
0:0:0:0:0:0:0:1 - - [05/Apr/2018:07:57:23 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 200 13646
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/js/mdb.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/images/img5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:03:44 +0530] "GET /JHCProgramming/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:04:25 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 200 13655
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 200 14162
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/css/mdb.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/font/roboto/Roboto-Light.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:06 +0530] "GET /JHCProgramming/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:05:28 +0530] "GET /JHCProgramming/javavideos.jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 200 14166
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/css/bootstrap.min.css HTTP/1.1" 200 144835
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/css/mdb.min.css HTTP/1.1" 200 181222
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/css/style.css HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/js/popper.min.js HTTP/1.1" 200 19197
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/js/mdb.min.js HTTP/1.1" 200 207332
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/images/logo1.jpg HTTP/1.1" 200 46644
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/images/img1.jpg HTTP/1.1" 200 13674
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:17:46 +0530] "GET /JHCProgramming/images/img5.png HTTP/1.1" 200 17143
