127.0.0.1 - - [25/Oct/2017:11:08:10 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:08:11 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:08:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2017:11:08:52 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:14:35 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:14:35 +0530] "GET /DTProjectsBootStrap/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:14:35 +0530] "GET /DTProjectsBootStrap/resources/js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:14:35 +0530] "GET /DTProjectsBootStrap/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:14:37 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:38:32 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:38:32 +0530] "GET /DTProjectsBootStrap/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:38:32 +0530] "GET /DTProjectsBootStrap/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:38:32 +0530] "GET /DTProjectsBootStrap/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:39:06 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:39:57 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:41:51 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:42:08 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/... HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/... HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:43:28 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/... HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/... HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:44:03 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:46:19 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:46:19 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 200 12507
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:46:19 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 200 13287
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:46:19 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:46:19 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
