127.0.0.1 - - [28/Mar/2018:12:21:43 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:21:43 +0530] "GET /BootStrapApp/ HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:21:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:21:55 +0530] "GET /BootStrapApp/header.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:22:13 +0530] "GET /BootStrapApp/header.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:35:15 +0530] "GET /BootStrapApp/header.jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:36:16 +0530] "GET /BootStrapApp/header.jsp HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:36:34 +0530] "GET /BootStrapApp/header.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:37:37 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:37:53 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:38:11 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:40:32 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:42:25 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:42:27 +0530] "GET /BootStrapApp/LoginPage.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:45:59 +0530] "GET /BootStrapApp/homepage.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:46:02 +0530] "GET /BootStrapApp/RegisterPage.jsp HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:46:02 +0530] "GET /BootStrapApp/regcss.css HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:46:02 +0530] "GET /BootStrapApp/font-awesome.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [28/Mar/2018:12:46:02 +0530] "GET /BootStrapApp/font-awesome-ie7.min.css HTTP/1.1" 404 1025
